window_index,start_ps,end_ps,toggled_bits,toggle_events
15567,1245360000,1245440000,22501,4108
15568,1245440000,1245520000,17003,3568
15569,1245520000,1245600000,12815,2584
15570,1245600000,1245680000,19416,3776
15571,1245680000,1245760000,21424,4149
15572,1245760000,1245840000,17078,3556
15573,1245840000,1245920000,12492,2364
15574,1245920000,1246000000,21373,3981
15575,1246000000,1246080000,23752,4307
15576,1246080000,1246160000,16069,3482
15577,1246160000,1246240000,12079,2294
15578,1246240000,1246320000,19745,3970
15579,1246320000,1246400000,21784,4221
15580,1246400000,1246480000,15814,3361
15581,1246480000,1246560000,13041,2485
15582,1246560000,1246640000,22401,4002
15583,1246640000,1246720000,20209,3885
15584,1246720000,1246800000,16324,3443
15585,1246800000,1246880000,14220,2733
15586,1246880000,1246960000,19783,3992
15587,1246960000,1247040000,18859,3621
15588,1247040000,1247120000,16031,3364
15589,1247120000,1247200000,16649,3081
15590,1247200000,1247280000,22799,4001
15591,1247280000,1247360000,18296,3610
15592,1247360000,1247440000,15600,3129
15593,1247440000,1247520000,17475,3305
15594,1247520000,1247600000,20899,4005
15595,1247600000,1247680000,17876,3590
15596,1247680000,1247760000,15044,3022
15597,1247760000,1247840000,17979,3437
15598,1247840000,1247920000,22450,4107
15599,1247920000,1248000000,16629,3573
15600,1248000000,1248080000,13070,2584
15601,1248080000,1248160000,19195,3775
15602,1248160000,1248240000,21099,4155
15603,1248240000,1248320000,17237,3559
15604,1248320000,1248400000,12493,2364
15605,1248400000,1248480000,21618,3982
15606,1248480000,1248560000,23585,4307
15607,1248560000,1248640000,16298,3483
15608,1248640000,1248720000,12110,2294
15609,1248720000,1248800000,20321,3971
15610,1248800000,1248880000,22623,4222
15611,1248880000,1248960000,15871,3361
15612,1248960000,1249040000,13107,2485
15613,1249040000,1249120000,21943,3999
15614,1249120000,1249200000,20436,3880
15615,1249200000,1249280000,16339,3442
15616,1249280000,1249360000,14008,2733
15617,1249360000,1249440000,20497,3995
15618,1249440000,1249520000,19107,3626
15619,1249520000,1249600000,16027,3364
15620,1249600000,1249680000,16689,3081
15621,1249680000,1249760000,22104,4006
15622,1249760000,1249840000,18217,3617
15623,1249840000,1249920000,15334,3129
15624,1249920000,1250000000,17142,3305
15625,1250000000,1250080000,21284,4012
15626,1250080000,1250160000,18096,3593
15627,1250160000,1250240000,14849,3022
15628,1250240000,1250320000,18160,3437
15629,1250320000,1250400000,22469,4114
15630,1250400000,1250480000,16591,3568
15631,1250480000,1250560000,12966,2584
15632,1250560000,1250640000,19629,3776
15633,1250640000,1250720000,21378,4149
15634,1250720000,1250800000,17416,3556
15635,1250800000,1250880000,12571,2364
15636,1250880000,1250960000,21986,3981
15637,1250960000,1251040000,23899,4307
15638,1251040000,1251120000,16641,3482
15639,1251120000,1251200000,12561,2294
