window_index,start_ps,end_ps,toggled_bits,toggle_events
9321,745680000,745760000,20608,3946
9322,745760000,745840000,16133,3517
9323,745840000,745920000,14606,2829
9324,745920000,746000000,21820,4087
9325,746000000,746080000,18931,3669
9326,746080000,746160000,16200,3438
9327,746160000,746240000,17013,3178
9328,746240000,746320000,23192,4102
9329,746320000,746400000,18213,3656
9330,746400000,746480000,15676,3207
9331,746480000,746560000,17761,3400
9332,746560000,746640000,22542,4099
9333,746640000,746720000,17649,3641
9334,746720000,746800000,15109,3108
9335,746800000,746880000,18844,3532
9336,746880000,746960000,22272,4200
9337,746960000,747040000,16767,3624
9338,747040000,747120000,13350,2694
9339,747120000,747200000,20251,3863
9340,747200000,747280000,22628,4230
9341,747280000,747360000,17054,3609
9342,747360000,747440000,13315,2483
9343,747440000,747520000,22042,4071
9344,747520000,747600000,24328,4370
9345,747600000,747680000,16434,3524
9346,747680000,747760000,12760,2413
9347,747760000,747840000,21341,4061
9348,747840000,747920000,22450,4295
9349,747920000,748000000,15769,3405
9350,748000000,748080000,13475,2604
9351,748080000,748160000,22233,4094
9352,748160000,748240000,20743,3939
9353,748240000,748320000,16251,3517
9354,748320000,748400000,14384,2829
9355,748400000,748480000,21692,4090
9356,748480000,748560000,19290,3672
9357,748560000,748640000,16043,3438
9358,748640000,748720000,17002,3178
9359,748720000,748800000,22874,4101
9360,748800000,748880000,18311,3663
9361,748880000,748960000,15767,3207
9362,748960000,749040000,18135,3400
9363,749040000,749120000,22824,4108
9364,749120000,749200000,17997,3644
9365,749200000,749280000,15166,3108
9366,749280000,749360000,18287,3532
9367,749360000,749440000,22571,4195
9368,749440000,749520000,16833,3613
9369,749520000,749600000,13276,2694
9370,749600000,749680000,20256,3864
9371,749680000,749760000,23256,4223
9372,749760000,749840000,17330,3603
9373,749840000,749920000,12995,2483
9374,749920000,750000000,22095,4070
9375,750000000,750080000,24425,4370
9376,750080000,750160000,16497,3525
9377,750160000,750240000,12789,2413
9378,750240000,750320000,21392,4058
9379,750320000,750400000,22787,4278
9380,750400000,750480000,15869,3405
9381,750480000,750560000,13745,2604
9382,750560000,750640000,22698,4089
9383,750640000,750720000,20445,3946
9384,750720000,750800000,16531,3517
9385,750800000,750880000,14814,2829
9386,750880000,750960000,22317,4087
9387,750960000,751040000,19747,3661
9388,751040000,751120000,16474,3438
9389,751120000,751200000,17240,3178
9390,751200000,751280000,23413,4102
9391,751280000,751360000,18497,3668
9392,751360000,751440000,15920,3207
9393,751440000,751520000,18356,3400
9394,751520000,751600000,22960,4099
9395,751600000,751680000,17925,3633
9396,751680000,751760000,15635,3108
9397,751760000,751840000,19551,3532
9398,751840000,751920000,22555,4194
9399,751920000,752000000,17437,3624
9400,752000000,752080000,13653,2694
9401,752080000,752160000,20628,3863
9402,752160000,752240000,23986,4232
9403,752240000,752320000,17227,3603
9404,752320000,752400000,13315,2483
9405,752400000,752480000,22244,4071
9406,752480000,752560000,24259,4370
9407,752560000,752640000,16668,3524
